"#","Reference","Qty","Value","Footprint","DNP"
"1","C1","1","680u","Capacitor_THT:CP_Radial_D5.0mm_P2.50mm",""
"2","C2","1","220u","Capacitor_THT:CP_Radial_D5.0mm_P2.50mm",""
"3","C3","1","10uF","Capacitor_THT:CP_Radial_Tantal_D4.5mm_P2.50mm",""
"4","C4","1","33uF","Capacitor_THT:CP_Radial_Tantal_D4.5mm_P2.50mm",""
"5","D1","1","1N5819","Diode_THT:D_DO-41_SOD81_P10.16mm_Horizontal",""
"6","J1","1","alimentacao analogica","Connector_PinHeader_2.54mm:PinHeader_1x08_P2.54mm_Vertical",""
"7","J2","1","sinais analogicos","Connector_PinHeader_2.54mm:PinHeader_1x27_P2.54mm_Vertical",""
"8","J3","1","comunicacao / sinais digitais","Connector_PinHeader_2.54mm:PinHeader_1x35_P2.54mm_Vertical",""
"9","J4, J5","2","Conn_01x04","Connector_PinHeader_2.54mm:PinHeader_1x04_P2.54mm_Horizontal",""
"10","L1","1","33u","Inductor_SMD:L_7.3x7.3_H4.5",""
"11","L+3.3v1","1","LED Yelow","LED_THT:LED_D5.0mm",""
"12","R1","1","510","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal",""
"13","U1, U4, U5, U6","4","BluePill_STM32F103C","BluePill_STM32:BluePill_STM32F103C",""
"14","U2","1","LM2596S-5","Package_TO_SOT_THT:TO-220-5_P3.4x3.7mm_StaggerOdd_Lead3.8mm_Vertical",""
"15","U3","1","LM1117T-3.3","Package_TO_SOT_THT:TO-220-3_Vertical",""
