Designator,Footprint,Quantity,Value,LCSC Part #
C1,CP_Radial_D5.0mm_P2.50mm,1,680u,
C2,CP_Radial_D5.0mm_P2.50mm,1,220u,
C3,CP_Radial_Tantal_D4.5mm_P2.50mm,1,10uF,
C4,CP_Radial_Tantal_D4.5mm_P2.50mm,1,33uF,
D1,D_DO-41_SOD81_P10.16mm_Horizontal,1,1N5819,
J1,PinHeader_1x08_P2.54mm_Vertical,1,alimentacao analogica,
J10,PinHeader_2x08_P2.54mm_Vertical,1,gpio-U1,
J11,PinHeader_2x08_P2.54mm_Vertical,1,gpio-U2,
J12,PinHeader_2x08_P2.54mm_Vertical,1,gpio-U3,
J13,PinHeader_2x08_P2.54mm_Vertical,1,gpio-U4,
"J14, J15, J16, J17, J18, J19, J8, J9",PinHeader_2x05_P2.54mm_Horizontal,8,Conn_02x05_Top_Bottom,
J2,PinHeader_1x27_P2.54mm_Vertical,1,sinais analogicos,
J3,PinHeader_1x35_P2.54mm_Vertical,1,comunicacao / sinais digitais,
L+3.3V1,LED_D5.0mm,1,LED Yelow,
L1,L_7.3x7.3_H4.5,1,33u,
R1,R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,1,510,
"U1, U2, U3, U4",BluePill_STM32F103C,4,BluePill_STM32F103C,
U5,TO-220-5_P3.4x3.7mm_StaggerOdd_Lead3.8mm_Vertical,1,LM2596S-5,
U6,TO-220-3_Vertical,1,LM1117T-3.3,
