Designator,Mid X,Mid Y,Rotation,Layer
C1,175.8,-123.55,90.0,top
C2,179.9,-129.05,90.0,top
C3,181.9211,-53.4,0.0,top
C4,166.2789,-55.7,180.0,top
D1,112.7,-130.9,90.0,top
J1,106.68,-66.04,0.0,top
J10,169.61,-83.3092,0.0,bottom
J11,145.11,-83.3492,0.0,bottom
J12,121.11,-83.2292,0.0,bottom
J13,147.8392,-127.29,270.0,bottom
J14,129.205,-56.17,90.0,top
J15,143.005,-56.18,90.0,top
J16,156.84,-56.17,90.0,top
J17,129.195,-145.42,270.0,top
J18,142.98,-145.43,270.0,top
J19,156.78,-145.43,270.0,top
J2,106.68,-114.3,0.0,top
J3,185.42,-100.33,0.0,top
J8,115.44,-56.17,90.0,top
J9,115.395,-145.42,270.0,top
L+3.3V1,177.4,-135.27,90.0,top
L1,179.1,-145.0,90.0,top
R1,177.01,-118.1,0.0,top
U1,169.88,-86.1754,180.0,top
U2,145.5752,-86.1754,180.0,top
U3,121.2704,-86.1754,180.0,top
U4,144.5054,-127.06,270.0,top
U5,169.4,-144.15,180.0,top
U6,174.06,-54.0,0.0,top
