Designator,Mid X,Mid Y,Rotation,Layer
C1,132.08,-88.245,90.0,top
C2,126.1449,-107.0,0.0,top
C3,121.412,-91.547,270.0,top
C4,127.0,-91.547,270.0,top
CF1-SELECT1,145.33,-82.9,90.0,top
CF1A1,109.95,-83.8,180.0,top
CF1B1,138.4799,-82.8,0.0,top
CF2-SELECT2,133.53,-111.6,270.0,top
CF2A1,110.6,-109.55,90.0,top
CF2B1,163.9449,-110.5,0.0,top
D1,155.194,-93.472,270.0,bottom
D2,151.892,-93.472,270.0,bottom
D3,139.573,-102.616,270.0,bottom
D4,136.271,-102.616,90.0,bottom
J3,164.13,-97.01,0.0,top
J4,121.665,-111.5,90.0,top
J5,121.65,-83.875,90.0,top
J6,109.22,-97.531,0.0,top
J7,141.239999,-111.5,90.0,top
J8,155.66,-83.3,270.0,top
R1,118.5,-107.6,0.0,top
R10,147.828,-105.029,90.0,top
R11,129.794,-100.33,270.0,bottom
R2,115.697,-101.219,270.0,top
R3,112.649,-101.219,90.0,top
R4,115.824,-91.059,90.0,top
R5,112.776,-91.059,270.0,top
R8,124.333,-87.209,0.0,top
U1-BUFFER1,155.448,-105.029,90.0,top
U2-GAIN1,140.208,-90.424,90.0,top
U3-COND-DIP1,122.936,-99.274,90.0,top
U4-COND-SMD1,123.1138,-99.274,0.0,bottom
U4-DIGPOT2,153.289,-92.964,180.0,top
U5-BUFFER1,155.5242,-105.029,0.0,bottom
U5-DIGPOT1,137.795,-102.489,180.0,top
U6-GAIN1,140.0302,-90.424,0.0,bottom
