Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C4",CP_Radial_D5.0mm_P2.50mm,2,470 pF,
"C2, C3",CP_Radial_D5.0mm_P2.50mm,2,1 uF,
"D1, D2, D3, D4",D_DO-41_SOD81_P10.16mm_Horizontal,4,1N5819,
J1,PinSocket_2x09_P2.54mm_Horizontal,1,Conn_02x09_Top_Bottom,
J2,PinHeader_1x02_P2.54mm_Vertical,1,Canais-eletrodos,
J5,PinSocket_1x06_P2.54mm_Horizontal,1,in,
J6,PinHeader_1x03_P2.54mm_Vertical,1,In_1 select,
J7,PinHeader_1x03_P2.54mm_Vertical,1,In_2 select,
J8,PinHeader_1x06_P2.54mm_Horizontal,1,out,
"R1, R8",R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,2,220,
"R2, R3, R4, R5",R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,4,100k,
"RC1, RC10, RC2, RC3, RC4, RC5, RC6, RC7, RC8, RC9",R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,10,R,
"RFG_1, RFG_2",R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,2,51k,
"U1, U2",DIP-14_W7.62mm,2,CD4066BE,
"U1-BUFFER1, U2-GAIN1, U3-COND-DIP1",N_8_ADI,3,AD828AN,
"U4-COND-SMD1, U5-BUFFER1, U6-GAIN1",R_8_ADI,3,AD8056ARZ,
