Designator,Mid X,Mid Y,Rotation,Layer
C1,96.3851,-135.885,180.0,top
C2,107.1,-155.6499,270.0,top
C3,107.3,-145.8701,90.0,top
C4,109.16,-135.885,0.0,top
D1,96.23,-137.885,180.0,bottom
D2,96.13,-133.685,0.0,bottom
D3,109.1349,-133.668,180.0,bottom
D4,109.1349,-137.985,0.0,bottom
J1,67.67,-150.0,0.0,top
J2,122.8,-150.795,0.0,top
J5,73.0,-165.2,90.0,top
J6,113.799999,-164.2,90.0,top
J7,104.214999,-164.2,90.0,top
J8,72.85,-133.0,90.0,top
R1,115.4,-141.4,0.0,top
R2,105.2,-155.605,90.0,bottom
R3,109.2,-154.595,270.0,bottom
R4,105.3,-145.625,270.0,bottom
R5,109.2,-144.595,90.0,bottom
R8,115.61,-161.6,0.0,bottom
RC1,101.885,-155.975,270.0,top
RC10,71.39,-136.4,180.0,top
RC2,95.485,-151.125,180.0,bottom
RC3,94.565,-161.155,270.0,top
RC4,75.8,-158.7,180.0,bottom
RC5,82.61,-136.6,180.0,top
RC6,95.495,-154.125,0.0,top
RC7,97.6,-160.61,90.0,top
RC8,75.8,-161.0,0.0,top
RC9,101.935,-146.125,90.0,top
RFG_1,114.99,-144.4,0.0,top
RFG_2,115.38,-158.2,0.0,top
U1,75.655,-147.435,180.0,top
U1-BUFFER1,86.99,-161.635,90.0,top
U2,85.575,-147.48,0.0,top
U2-GAIN1,115.365,-151.3474,180.0,top
U3-COND-DIP1,95.59,-144.195,180.0,top
U4-COND-SMD1,95.59,-144.0172,270.0,bottom
U5-BUFFER1,87.0662,-161.635,0.0,bottom
U6-GAIN1,115.365,-151.5252,270.0,bottom
