"#","Reference","Qty","Value","Footprint","DNP"
"1","C1, C3","2","1 uF","Capacitor_THT:CP_Radial_D5.0mm_P2.50mm",""
"2","C2, C4","2","470 pF","Capacitor_THT:CP_Radial_D5.0mm_P2.50mm",""
"3","D1, D2, D3, D4","4","1N5819","Diode_THT:D_DO-41_SOD81_P10.16mm_Horizontal",""
"4","display1","1","SSD1306","OLED:128x64OLED",""
"5","J1","1","alimentacao analogica","Connector_PinHeader_2.54mm:PinHeader_1x08_P2.54mm_Vertical",""
"6","J2","1","sinais analogicos","Connector_PinHeader_2.54mm:PinHeader_1x27_P2.54mm_Vertical",""
"7","J3","1","comunicacao / sinais digitais","Connector_PinHeader_2.54mm:PinHeader_1x35_P2.54mm_Vertical",""
"8","J4","1","+3.3V | +5.0V","Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Vertical",""
"9","J5","1","sinais_condicionados","Connector_PinHeader_2.54mm:PinHeader_1x04_P2.54mm_Horizontal",""
"10","J6","1","Eletrodos","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Horizontal",""
"11","J7","1","on_uCMaster","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical",""
"12","L+3.3v1","1","LED - Yelow","LED_THT:LED_D5.0mm",""
"13","L+5v1","1","LED - Green","LED_THT:LED_D5.0mm",""
"14","L+9v1","1","LED - Blue","LED_THT:LED_D5.0mm",""
"15","L-9v1","1","LED - Red","LED_THT:LED_D5.0mm",""
"16","R1, R2, R4, R5","4","100k","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal",""
"17","R3, R6","2","220","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal",""
"18","R9, R10","2","1.2k","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal",""
"19","R11","1","390","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal",""
"20","R12","1","240","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal",""
"21","U1-Cond1","1","AD828AN","AD828:AD828",""
"22","U2, U3","2","BluePill_STM32F103C","BluePill_STM32:BluePill_STM32F103C",""
