"#","Reference","Qty","Value","Footprint","DNP"
"1","J1","1","alimentacao analogica","Connector_PinHeader_2.54mm:PinHeader_1x08_P2.54mm_Vertical",""
"2","J2","1","sinais analogicos","Connector_PinHeader_2.54mm:PinHeader_1x27_P2.54mm_Vertical",""
"3","J3","1","comunicacao / sinais digitais","Connector_PinHeader_2.54mm:PinHeader_1x35_P2.54mm_Vertical",""
"4","J4","1","Conn_01x03","Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Vertical",""
"5","J5, J6, J7","3","Conn_01x02","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical",""
"6","J8","1","+9Vmux","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical",""
"7","J9","1","+5Vmux","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical",""
"8","J10","1","+3.3Vmux","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical",""
"9","J11","1","-9Vmux","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical",""
"10","J12","1","-5Vmux","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical",""
"11","J13","1","GNDmux","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical",""
"12","J14, J15","2","conectorEletrodos","Connector_PinHeader_2.54mm:PinHeader_2x24_P2.54mm_Vertical",""
"13","L+3.3v1","1","LED Yelow","LED_THT:LED_D5.0mm",""
"14","L+5v1","1","LED Green","LED_THT:LED_D5.0mm",""
"15","L+9v1","1","LED Blue","LED_THT:LED_D5.0mm",""
"16","L-9v1","1","LED Red","LED_THT:LED_D5.0mm",""
"17","R1, R2","2","1.5k","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal",""
"18","R3","1","470","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal",""
"19","R4","1","510","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal",""
"20","U1A1, U1B1, U2A2, U2B2, U3A3, U3B3, U4A4, U4B4, U5A1, U5B1","10","74HC4051","74HC4051N:N16",""
"21","U2","1","BluePill_STM32F103C","BluePill_STM32:BluePill_STM32F103C",""
