"#","Reference","Qty","Value","Footprint","DNP"
"1","C1, C3","2","1 uF","Capacitor_THT:CP_Radial_D5.0mm_P2.50mm",""
"2","C2, C4","2","470 pF","Capacitor_THT:CP_Radial_D5.0mm_P2.50mm",""
"3","D1, D2, D3, D4","4","1N5819","Diode_THT:D_DO-41_SOD81_P10.16mm_Horizontal",""
"4","J1","1","alimentacao analogica","Connector_PinHeader_2.54mm:PinHeader_1x08_P2.54mm_Vertical",""
"5","J2","1","sinais analogicos","Connector_PinHeader_2.54mm:PinHeader_1x27_P2.54mm_Vertical",""
"6","J3","1","comunicacao / sinais digitais","Connector_PinHeader_2.54mm:PinHeader_1x35_P2.54mm_Vertical",""
"7","J4","1","SinA | Sin1","Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Vertical",""
"8","J5","1","SinB | Sin2","Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Vertical",""
"9","J7","1","+3.3V | +5.0V","Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Vertical",""
"10","L+3.3v1","1","LED Yelow","LED_THT:LED_D5.0mm",""
"11","L+5v1","1","LED Green","LED_THT:LED_D5.0mm",""
"12","L+9v1","1","LED Blue","LED_THT:LED_D5.0mm",""
"13","L-9v1","1","LED Red","LED_THT:LED_D5.0mm",""
"14","R1, R2, R3, R5, R7, R8, R9, R11, R13, R14, R16, R17","12","100k","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal",""
"15","R4, R6, R10, R12","4","1k","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal",""
"16","R15, R18","2","220","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal",""
"17","R19, R20","2","1.2k","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal",""
"18","R21","1","390","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal",""
"19","R22","1","240","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal",""
"20","Rganho-I1, Rganho-I2","2","3,3k","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal",""
"21","RpSCL1, RpSCL2, RpSCL3, RpSCL4, RpSDA1, RpSDA2, RpSDA3, RpSDA4","8","4k7","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal",""
"22","Rsentinela-I1, Rsentinela-I2","2","10","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal",""
"23","U1-howland1, U3-cond1","2","AD828AN","AD828:AD828",""
"24","U1-INA-I1, U2-INA-I2","2","INA128","Package_DIP:DIP-8_W7.62mm",""
