"#","Reference","Qty","Value","Footprint","DNP"
"1","J2","1","tensoes","Connector_PinHeader_2.54mm:PinHeader_1x08_P2.54mm_Vertical",""
"2","J3","1","sinais analogicos","Connector_PinHeader_2.54mm:PinHeader_1x27_P2.54mm_Vertical",""
"3","J4","1","comunicacao / sinais digitais","Connector_PinHeader_2.54mm:PinHeader_1x35_P2.54mm_Vertical",""
"4","R1, R2, R3, R5","4","100k","",""
"5","R4, R6","2","1k","",""
"6","Rg1","1","3,3k","",""
"7","Rs1","1","10","",""
"8","SW1","1","SW_Push_DPDT","",""
"9","U1","1","AD828AN","N_8_ADI",""
"10","U2","1","INA128","",""
