Id,Designador,Footprint,Quantidade,Designação,Fornecedor e referência
1,J1,PinHeader_1x03_P2.54mm_Vertical,1,Vref,
2,R12,R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,1,220,
3,Rsentinela1,R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,1,10,
4,C4,CP_Radial_D5.0mm_P2.50mm,1,470 pF,
5,U2,DIP-8_W7.62mm,1,INA128,
6,J4,PinSocket_1x35_P2.54mm_Vertical,1,comunicacao / sinais digitais,
7,"U3-cond1,U1-howland1",N_8_ADI,2,AD828AN,
8,"R10,R1,R2,R11,R3,R5",R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,6,100k,
9,J2,PinSocket_1x08_P2.54mm_Vertical,1,tensoes,
10,J3,PinSocket_1x27_P2.54mm_Vertical,1,sinais analogicos,
11,RganhoINA1,R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,1,"3,3k",
12,C3,CP_Radial_D5.0mm_P2.50mm,1,1 uF,
13,"D2,D1",D_DO-41_SOD81_P10.16mm_Horizontal,2,1N5819,
14,SW_kcd1,chave gangorra 3 pinos,1,sw,
15,"R4,R6",R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,2,1k,
