"#","Reference","Qty","Value","Footprint","DNP"
"1","C1","1","1 uF","Capacitor_THT:CP_Radial_D5.0mm_P2.50mm",""
"2","C2","1","470 pF","Capacitor_THT:CP_Radial_D5.0mm_P2.50mm",""
"3","D1, D2","2","1N5819","Diode_THT:D_DO-41_SOD81_P10.16mm_Horizontal",""
"4","J1","1","Entrada","Connector_PinSocket_2.54mm:PinSocket_1x05_P2.54mm_Vertical",""
"5","J2","1","Saída","Connector_PinSocket_2.54mm:PinSocket_1x03_P2.54mm_Vertical",""
"6","J3","1","Nós","Connector_PinHeader_2.54mm:PinHeader_1x07_P2.54mm_Vertical",""
"7","R1, R3, R4, R5, R7, R8","6","100k","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal",""
"8","R2, R6","2","1k","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal",""
"9","R9","1","220","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal",""
"10","RganhoINA1","1","3,3k","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal",""
"11","Rsentinela1","1","10","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal",""
"12","U1","1","AD828AN","AD828:N_8_ADI",""
"13","U2","1","INA128","Package_DIP:DIP-8_W7.62mm",""
