"#","Reference","Qty","Value","Footprint","DNP"
"1","C3","1","1 uF","Capacitor_THT:CP_Radial_D5.0mm_P2.50mm",""
"2","C4","1","470 pF","Capacitor_THT:CP_Radial_D5.0mm_P2.50mm",""
"3","D1, D2","2","1N5819","Diode_THT:D_DO-41_SOD81_P10.16mm_Horizontal",""
"4","J1","1","alimentacao analogica","Connector_PinHeader_2.54mm:PinHeader_1x08_P2.54mm_Vertical",""
"5","J2","1","sinais analogicos","Connector_PinHeader_2.54mm:PinHeader_1x27_P2.54mm_Vertical",""
"6","J3","1","comunicacao / sinais digitais","Connector_PinHeader_2.54mm:PinHeader_1x35_P2.54mm_Vertical",""
"7","J4","1","signal select","Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Vertical",""
"8","J7","1","+3.3V | +5.0V","Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Vertical",""
"9","L+3.3v1","1","LED - Yelow","LED_THT:LED_D5.0mm",""
"10","L+5v1","1","LED - Green","LED_THT:LED_D5.0mm",""
"11","L+9v1","1","LED - Blue","LED_THT:LED_D5.0mm",""
"12","L-9v1","1","LED - Red","LED_THT:LED_D5.0mm",""
"13","R1, R2, R3, R5, R10, R11","6","100k","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal",""
"14","R4, R6","2","1k","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal",""
"15","R7, R13","2","1.2k","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal",""
"16","R8","1","390","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal",""
"17","R9","1","240","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal",""
"18","R12","1","220","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal",""
"19","Rganho-I1","1","3,3k","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal",""
"20","RpSCL1, RpSCL2, RpSCL3, RpSCL4, RpSDA1, RpSDA2, RpSDA3, RpSDA4","8","4k7","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal",""
"21","Rsentinela-I1","1","10","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal",""
"22","U1-howland1, U3-cond1","2","AD828AN","AD828:AD828",""
"23","U2-INA-I1","1","INA128","Package_DIP:DIP-8_W7.62mm",""
