"#","Reference","Qty","Value","Footprint","DNP"
"1","C1","1","0.33uF","Capacitor_THT:CP_Radial_D5.0mm_P2.50mm",""
"2","C2","1","2.2uF","Capacitor_THT:CP_Radial_D5.0mm_P2.50mm",""
"3","C3","1","0.1uf","Capacitor_THT:CP_Radial_D5.0mm_P2.50mm",""
"4","C4, C6, C8","3","0.1uF","Capacitor_THT:CP_Radial_D5.0mm_P2.50mm",""
"5","C5, C9","2","1uF","Capacitor_THT:CP_Radial_D5.0mm_P2.50mm",""
"6","C7","1","0.22uF","Capacitor_THT:CP_Radial_D5.0mm_P2.50mm",""
"7","C10, C11","2","10uF","Capacitor_THT:CP_Radial_D5.0mm_P2.50mm",""
"8","D1, D2, D3, D4","4","1N5819","Diode_THT:D_DO-41_SOD81_P10.16mm_Horizontal",""
"9","D5","1","LED","LED_THT:LED_D5.0mm",""
"10","J1","1","Barrel_Jack","Connector_BarrelJack:BarrelJack_GCT_DCJ200-10-A_Horizontal",""
"11","J2","1","sinais","Connector_PinHeader_2.54mm:PinHeader_1x27_P2.54mm_Vertical",""
"12","J3","1","comunicacao","Connector_PinHeader_2.54mm:PinHeader_1x35_P2.54mm_Vertical",""
"13","J4","1","tensoes","Connector_PinHeader_2.54mm:PinHeader_1x08_P2.54mm_Vertical",""
"14","R1","1","1.5k","Resistor_THT:R_Axial_DIN0617_L17.0mm_D6.0mm_P20.32mm_Horizontal",""
"15","R2, R3","2","22k","Resistor_THT:R_Axial_DIN0617_L17.0mm_D6.0mm_P20.32mm_Horizontal",""
"16","R4","1","1k","Resistor_THT:R_Axial_DIN0617_L17.0mm_D6.0mm_P20.32mm_Horizontal",""
"17","R5","1","15k","Resistor_THT:R_Axial_DIN0617_L17.0mm_D6.0mm_P20.32mm_Horizontal",""
"18","R6","1","1","Resistor_THT:R_Axial_DIN0617_L17.0mm_D6.0mm_P20.32mm_Horizontal",""
"19","SW1","1","SW_Push_DPDT","Button_Switch_THT:SW_PUSH_E-Switch_FS5700DP_DPDT",""
"20","U1","1","L7809","Package_TO_SOT_THT:TO-220-3_Vertical",""
"21","U2","1","LM7909_TO220","Package_TO_SOT_THT:TO-220-3_Vertical",""
"22","U3","1","LM675","Package_TO_SOT_THT:TO-220-5_P3.4x3.7mm_StaggerOdd_Lead3.8mm_Vertical",""
"23","U4","1","L7805","Package_TO_SOT_THT:TO-220-3_Vertical",""
"24","U5","1","L7905","Package_TO_SOT_THT:TO-220-3_Vertical",""
"25","U6","1","LM1117T-3.3","Package_TO_SOT_THT:TO-220-3_Vertical",""
