Id,Designador,Footprint,Quantidade,Designação,Fornecedor e referência
1,J1,BarrelJack_GCT_DCJ200-10-A_Horizontal,1,Barrel_Jack,
2,U3,TO-220-5_P3.4x3.7mm_StaggerOdd_Lead3.8mm_Vertical,1,LM675,
3,"C2,C7",CP_Radial_D5.0mm_P2.50mm,2,2.2uF,
4,"R1,R4",R_Axial_DIN0617_L17.0mm_D6.0mm_P20.32mm_Horizontal,2,1kΩ,
5,"D2,D4,D3,D1",D_DO-41_SOD81_P10.16mm_Horizontal,4,1N5819,
6,U1,TO-220-3_Vertical,1,L7809,
7,"C10,C11",CP_Radial_D5.0mm_P2.50mm,2,10uF,
8,J3,PinHeader_1x35_P2.54mm_Vertical,1,comunicacao / sinais digitais,
9,U6,TO-220-3_Vertical,1,LM1117T-3.3,
10,"C9,C5",CP_Radial_D5.0mm_P2.50mm,2,1uF,
11,R5,R_Axial_DIN0617_L17.0mm_D6.0mm_P20.32mm_Horizontal,1,15kΩ,
12,U2,TO-220-3_Vertical,1,LM7909_TO220,
13,"C8,C4",CP_Radial_D5.0mm_P2.50mm,2,0.1uF,
14,J4,PinHeader_1x08_P2.54mm_Vertical,1,tensoes,
15,J2,PinHeader_1x27_P2.54mm_Vertical,1,sinais analogicos,
16,"R2,R3",R_Axial_DIN0617_L17.0mm_D6.0mm_P20.32mm_Horizontal,2,22kΩ,
17,U4,TO-220-3_Vertical,1,L7805,
18,U5,TO-220-3_Vertical,1,L7905,
19,C1,CP_Radial_D5.0mm_P2.50mm,1,0.33uF,
20,R6,R_Axial_DIN0617_L17.0mm_D6.0mm_P20.32mm_Horizontal,1,1Ω,
21,D5,LED_D5.0mm,1,LED,
22,switch,chave gangorra kcd1,1,2 pinos,
