"Id";"Designador";"Footprint";"Quantidade";"Designação";"Fornecedor e referência";
1;"D1,D4,D3,D2";"D_DO-41_SOD81_P10.16mm_Horizontal";4;"1N5819";;;
2;"C5";"C_Disc_D3.0mm_W1.6mm_P2.50mm";1;"220nF";;;
3;"R7";"R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal";1;"1";;;
4;"U2";"TO-220-3_Vertical";1;"LM7909_TO220";;;
5;"R5";"R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal";1;"1k";;;
6;"C4,C1,C10,C7";"CP_Radial_Tantal_D4.5mm_P2.50mm";4;"1uF";;;
7;"C8";"CP_Radial_Tantal_D4.5mm_P2.50mm";1;"10uF";;;
8;"R3,R4";"R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal";2;"22k";;;
9;"U3";"TO-220-5_P3.4x3.7mm_StaggerOdd_Lead3.8mm_Vertical";1;"LM675";;;
10;"I/0";"chave gangorra 2 pinos";1;"Vin";;;
11;"green1,red1";"LED_D5.0mm";2;"LED";;;
12;"J3";"PinHeader_1x35_P2.54mm_Vertical";1;"comunicacao / sinais digitais";;;
13;"C9";"CP_Radial_Tantal_D4.5mm_P2.50mm";1;"33uF";;;
14;"C11,C2";"CP_Radial_Tantal_D4.5mm_P2.50mm";2;"2.2uF";;;
15;"U5";"TO-220-3_Vertical";1;"L7905";;;
16;"J1";"PinHeader_1x08_P2.54mm_Vertical";1;"alimentacao analogica";;;
17;"J2";"PinHeader_1x27_P2.54mm_Vertical";1;"sinais analogicos";;;
18;"U6";"TO-220-3_Vertical";1;"LM1117T-3.3";;;
19;"C3,C12";"C_Disc_D3.0mm_W1.6mm_P2.50mm";2;"100 nF";;;
20;"R2";"R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal";1;"510";;;
21;"R6";"R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal";1;"15k";;;
22;"U1";"TO-220-3_Vertical";1;"L7809";;;
23;"U4";"TO-220-3_Vertical";1;"L7805";;;
24;"Vin";"BarrelJack_GCT_DCJ200-10-A_Horizontal";1;"Vin";;;
25;"R1";"R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal";1;"1k2";;;
