"#","Reference","Qty","Value","Footprint","DNP"
"1","C1","1","3.3uF","Capacitor_THT:CP_Radial_D5.0mm_P2.50mm",""
"2","C2","1","22uF","Capacitor_THT:CP_Radial_D5.0mm_P2.50mm",""
"3","C3, C4, C6, C7","4","1uF","Capacitor_THT:CP_Radial_D5.0mm_P2.50mm",""
"4","C5","1","2.2uF","Capacitor_THT:CP_Radial_D5.0mm_P2.50mm",""
"5","C8, C9","2","100uF","Capacitor_THT:CP_Radial_D5.0mm_P2.50mm",""
"6","D1, D2, D3, D4","4","1N5819","Diode_THT:D_DO-41_SOD81_P10.16mm_Horizontal",""
"7","green1, red1","2","LED","LED_THT:LED_D5.0mm",""
"8","J1","1","alimentacao analogica","Connector_PinHeader_2.54mm:PinHeader_1x08_P2.54mm_Vertical",""
"9","J2","1","sinais analogicos","Connector_PinHeader_2.54mm:PinHeader_1x27_P2.54mm_Vertical",""
"10","J3","1","comunicacao / sinais digitais","Connector_PinHeader_2.54mm:PinHeader_1x35_P2.54mm_Vertical",""
"11","J4","1","Barrel_Jack","Connector_BarrelJack:BarrelJack_GCT_DCJ200-10-A_Horizontal",""
"12","R1","1","1k2","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal",""
"13","R2","1","510","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal",""
"14","R3, R4","2","22k","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal",""
"15","R5","1","1k","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal",""
"16","R6","1","15k","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal",""
"17","R7","1","1","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal",""
"18","SW_kcd1","1","chave_gangorra_2_pinos","Chave_Gangorra:chave gangorra 2 pinos",""
"19","U1","1","L7809","Package_TO_SOT_THT:TO-220-3_Vertical",""
"20","U2","1","LM7909_TO220","Package_TO_SOT_THT:TO-220-3_Vertical",""
"21","U3","1","LM675","Package_TO_SOT_THT:TO-220-5_P3.4x3.7mm_StaggerOdd_Lead3.8mm_Vertical",""
"22","U4","1","L7805","Package_TO_SOT_THT:TO-220-3_Vertical",""
"23","U5","1","L7905","Package_TO_SOT_THT:TO-220-3_Vertical",""
"24","U6","1","LM1117T-3.3","Package_TO_SOT_THT:TO-220-3_Vertical",""
