"#","Reference","Qty","Value","Footprint","DNP"
"1","C1, C4, C7, C10","4","1uF","Capacitor_THT:CP_Radial_Tantal_D4.5mm_P2.50mm",""
"2","C2, C11","2","2.2uF","Capacitor_THT:CP_Radial_Tantal_D4.5mm_P2.50mm",""
"3","C3, C12","2","100 nF","Capacitor_THT:C_Disc_D3.0mm_W1.6mm_P2.50mm",""
"4","C5","1","220nF","Capacitor_THT:C_Disc_D3.0mm_W1.6mm_P2.50mm",""
"5","C6","1","220u","Capacitor_THT:CP_Radial_D5.0mm_P2.50mm",""
"6","C8","1","10uF","Capacitor_THT:CP_Radial_Tantal_D4.5mm_P2.50mm",""
"7","C9","1","33uF","Capacitor_THT:CP_Radial_Tantal_D4.5mm_P2.50mm",""
"8","C13","1","680u","Capacitor_THT:CP_Radial_D5.0mm_P2.50mm",""
"9","D1, D2, D3, D4, D5","5","1N5819","Diode_THT:D_DO-41_SOD81_P10.16mm_Horizontal",""
"10","green1, red1","2","LED","LED_THT:LED_D5.0mm",""
"11","I/0","1","Vin","Chave_Gangorra:chave gangorra 2 pinos",""
"12","J1","1","alimentacao analogica","Connector_PinHeader_2.54mm:PinHeader_1x08_P2.54mm_Vertical",""
"13","J2","1","sinais analogicos","Connector_PinHeader_2.54mm:PinHeader_1x27_P2.54mm_Vertical",""
"14","J3","1","comunicacao / sinais digitais","Connector_PinHeader_2.54mm:PinHeader_1x35_P2.54mm_Vertical",""
"15","L1","1","33u","Inductor_SMD:L_7.3x7.3_H4.5",""
"16","R1","1","1k2","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal",""
"17","R2","1","510","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal",""
"18","R3, R4","2","22k","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal",""
"19","R5","1","1k","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal",""
"20","R6","1","15k","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal",""
"21","R7","1","1","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal",""
"22","U1","1","L7809","Package_TO_SOT_THT:TO-220-3_Vertical",""
"23","U2","1","LM7909_TO220","Package_TO_SOT_THT:TO-220-3_Vertical",""
"24","U3","1","LM675","Package_TO_SOT_THT:TO-220-5_P3.4x3.7mm_StaggerOdd_Lead3.8mm_Vertical",""
"25","U4","1","L7805","Package_TO_SOT_THT:TO-220-3_Vertical",""
"26","U5","1","L7905","Package_TO_SOT_THT:TO-220-3_Vertical",""
"27","U6","1","LM1117T-3.3","Package_TO_SOT_THT:TO-220-3_Vertical",""
"28","U7","1","LM2596S-5","Package_TO_SOT_THT:TO-220-5_P3.4x3.7mm_StaggerOdd_Lead3.8mm_Vertical",""
"29","Vin1","1","Vin","Connector_BarrelJack:BarrelJack_GCT_DCJ200-10-A_Horizontal",""
