"#","Reference","Qty","Value","Footprint","DNP"
"1","A1","1","Arduino_Nano_v3.x","Module:Arduino_Nano",""
"2","C1","1","100 nF","Capacitor_THT:CP_Radial_D4.0mm_P1.50mm",""
"3","J1","1","tensoes","Connector_PinHeader_2.54mm:PinHeader_1x08_P2.54mm_Vertical",""
"4","J3","1","sinais analogicos","Connector_PinHeader_2.54mm:PinHeader_1x27_P2.54mm_Vertical",""
"5","J4","1","comunicacao / sinais digitais","Connector_PinHeader_2.54mm:PinHeader_1x35_P2.54mm_Vertical",""
"6","J5","1","pinos de prova","",""
"7","R1","1","10k","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal",""
"8","R2","1","2,7k","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal",""
"9","Rpulldown_pot1","1","10k","",""
"10","SW1","1","botao_forma_onda","",""
"11","SW2","1","botao_incremento_freq","",""
"12","SW3","1","botao_decremento_freq","",""
"13","SW4","1","botao_save_Rgain","",""
"14","SW5, SW6","2","botao_aumenta_Rgain","",""
"15","U1","1","AD828AN","footprints:N_8_ADI",""
"16","U2","1","X9c10x","",""
"17","U3","1","AD9833_module","",""
